Name,Description,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions,ingredients_raw,ingredients,iscurry,isomelette
Extra-Sharp Cheddar Oven Omelet,This is great for a holiday breakfast or brunch. It serves 10 and it can be prepared ahead of time and popped in the oven on the day of the event. My Mother serves this when the whole family gets together down at their shore house on holiday weekends. Options: add mushrooms and peppers or the like.,"c(""8"", ""4"", ""8"", ""1"", ""1/2"", ""3"", ""1"")","c(""bacon"", ""green onions"", ""eggs"", ""seasoning salt"", ""extra-sharp cheddar cheese"", ""sweet onion"")",5.0,9.0,356.5,29.9,15.2,238.9,464.0,3.8,0.4,1.3,17.9,10.0,,"c(""Preheat the oven to 350 degrees F."", ""Fry bacon until crisp but not burnt."", ""Drain, and reserving 1 tablespoon of drippings."", ""Sauté onion & green onion in drippings until translucent."", ""In a bowl beat eggs with cream and seasoned salt."", ""Stir in bacon, onions, and 2 cups of the cheese."", ""Pour into a greased, shallow, 3-quart baking dish."", ""Bake, uncovered, in a 350 F degree oven for 35 to 40 minutes until mixture is set (doesn't jiggle) and top is lightly browned."", ""When almost done, sprinkle with remaining cup cheese and return to oven until cheese melts."", 
""Serve immediately."")","[""8   slices    bacon, coarsely chopped "",""4       green onions, thinly sliced "",""8       eggs"",""1   cup    light cream"",""1/2  teaspoon    seasoning salt"",""3   cups    extra-sharp cheddar cheese (shredded)"",""1   large    sweet onion""]","[""bacon"", ""green onions"", ""cream"", ""seasoning"", ""sharp cheddar cheese shredded"", ""sweet onion""]",0,1
Fluffy Diner-Style Cheese Omelet,"Although this recipe will work with any electric mixer, a handheld mixer makes quick work of whipping such a small amount of cream. If using a standing mixer in step 1, transfer the whipped cream to a separate bowl, wipe out the mixing bowl, and then beat the eggs in the clean bowl.","c(""3"", ""5"", ""1/4"", ""2"", ""1/2"", NA, NA)","c(""heavy cream"", ""eggs"", ""salt"", ""unsalted butter"", ""sharp cheddar cheese"")",5.0,1.0,477.0,41.6,22.3,619.8,651.2,2.0,0.0,1.1,23.3,2.0,,"c(""Adjust oven rack to middle position and heat oven to 400 degrees. With electric mixer on medium-high speed, beat cream to soft peaks, about 2 minutes. Set whipped cream aside. Beat eggs and salt in clean bowl on high speed until frothy and eggs have tripled in size, about 2 minutes. Gently fold whipped cream into eggs."", ""Melt butter in 10-inch ovensafe nonstick skillet over medium-low heat, swirling pan to completely coat bottom and sides with melted butter. Add egg mixture and cook until edges are nearly set, 2 to 3 minutes. Sprinkle with 1/4 cup cheese (and half of filling, if using) and transfer to oven. Bake until eggs are set and edges are beginning to brown, 6 to 8 minutes."", 
""Carefully remove pan from oven (handle will be very hot). Sprinkle with remaining cheese (and remaining filling, if using) and let sit, covered, until cheese begins to melt, about 1 minute. Tilt pan and, using rubber spatula, push half of omelet onto cutting board. Tilt skillet so that omelet folds over itself to form half-moon. Cut omelet in half. Serve."")","[""3   tablespoons    heavy cream, chilled "",""5   large    eggs, room temperature "",""1/4  teaspoon    salt"",""2   tablespoons    unsalted butter"",""1/2  cup    sharp cheddar cheese, shredded "",""  meat"",""  vegetables""]","[""heavy cream"", ""eggs"", ""unsalted butter"", ""sharp cheddar cheese shredded""]",0,1
Pesto Omelet,Make and share this Pesto Omelet recipe from Food.com.,"c(""4"", ""1"", ""1/4"", ""2"", ""2"")","c(""eggs"", ""tomatoes"", ""pesto sauce"", ""romano cheese"")",5.0,4.0,213.2,13.9,5.5,437.7,552.0,3.8,0.8,2.1,17.6,2.0,1 omelet,"c(""Combine eggs and tomato in a small bowl and set aside."", ""Haet greased, large nonstick skillet over medium-high heat.  Pour in egg mixture.  Mixture should immediately set at the edges."", ""Carefully push cooked mixture at edges toward center so uncooked portions can reach the hot pan surface, tilting pan as necessary."", ""While top is still moist and creamy-looking, top with roasted pepper, pesto and cheese."", ""Reduce heat to low; fold omelet in half.  Cook an additional 2 minutes and serve immediately.""
)","[""4   large    eggs, beaten "",""1   small    tomatoes, diced "",""1/4  cup   sliced roasted red pepper, drained "",""2   tablespoons    pesto sauce"",""2   tablespoons   shredded romano cheese (may sub parmesean or feta)""]","[""tomatoes"", ""sliced roasted red pepper"", ""pesto sauce"", ""shredded romano cheese parmesean feta""]",0,1
Mushroom &amp; Broccoli Omelet,Make and share this Mushroom &amp; Broccoli Omelet recipe from Food.com.,"c(""4"", ""8"", ""2"", ""1/2"", ""1/2"", NA, ""1"", ""1"", ""1"", ""1"", ""4"", ""3"")","c(""eggs"", ""half-and-half"", ""salt"", ""black pepper"", ""nutmeg"", ""mushroom"")",5.0,1.0,153.0,7.4,2.3,214.3,503.8,5.8,2.4,2.2,16.4,4.0,4 omelets,"c(""Whisk together eggs, egg whites, half-and-half, 1/4 t each of the salt and pepper; and nutmeg; set aside."", ""Heat oil in 10-inch skillet over medium-high heat."", ""Add mushrooms to pan; sprinkle with remaining 1/4 t each of salt and pepper."", ""Cook 2 minutes."", ""Stir in broccoli; cook 2 minutes."", ""Scrape mushroom mixture into a bowl; set aside."", ""Place skillet back over medium heat; coat generously with nonstick cooking spray."", ""When pan is hot, pour in 2/3 cup of the egg mixture."", ""Sprinkle 1/4 cup of the mushroom mixture and a quarter of the feta down left side of the egg mixture."", 
""Cook for 2 minutes."", ""Using a rubber spatula, fold right side of egg over mushroom and cheese."", ""Cook 1 minute."", ""Carefully slide onto plate; keep warm."", ""Repeat procedure for remaining 3 omelets."", ""Mix salad greens with vinaigrette."", ""Serve alongside omelets."")","[""4       eggs"",""8       egg whites"",""2   tablespoons    half-and-half"",""1/2  teaspoon    salt"",""1/2  teaspoon    black pepper"",""  nutmeg, pinch "",""1   teaspoon    vegetable oil"",""1   cup    mushroom, chopped "",""1   cup    frozen chopped broccoli, thawed "",""1 (3 1/2  ounce) package  crumbled reduced-fat feta cheese"",""4   cups    salad greens"",""3   tablespoons    reduced-fat red wine vinaigrette""]","[""egg whites"", ""black pepper"", ""nutmeg"", ""vegetable oil"", ""mushroom"", ""frozen chopped broccoli"", ""crumbled reduced - fat feta cheese"", ""salad greens"", ""reduced red wine vinaigrette""]",0,1
Spanish Omelette,Make and share this Spanish Omelette recipe from Food.com.,"c(""2"", ""1"", ""225"", ""1/2"", ""4"", NA, ""1"", ""100"")","c(""onion"", ""potatoes"", ""green bell pepper"", ""eggs"", ""dried parsley"", ""cheddar cheese"")",5.0,1.0,584.8,40.3,15.5,475.5,460.5,28.1,3.8,5.0,28.1,2.0,,"c(""Heat the oil in a frying pan and saute the onion for 3-5 minutes Add the potatoes and pepper and cook for 5 mins, stirring occasionally."", ""Season the eggs with salt and pepper and stir in the parsley. Pour over the vegetable mixture and cook for 2-3 mins until the base is set."", ""Sprinkle over the cheese and place under a grill for 3-4 mins until golden brown. Serve in wedges."")","[""2   tablespoons    vegetable oil"",""1       onion, chopped "",""225   g   cooked potatoes, cubed "",""1/2      green bell pepper, chopped "",""4       eggs, beaten "",""  salt and pepper"",""1   teaspoon    dried parsley"",""100   g    cheddar cheese, grated ""]","[""vegetable oil"", ""onion"", ""cooked potatoes"", ""green bell pepper chopped"", ""eggs"", ""salt pepper"", ""dried parsley"", ""cheddar cheese""]",0,1
Beedub's Breakfast Omelet,"Makes a delicious, healthy, and high in protein breakfast omelet. Best served with a portion of carbs of your choice.","c(""1"", ""4"", ""1/2"", ""1/2"", ""1/4"", ""1/4"", ""1"", ""1"", NA)","c(""egg"", ""cheddar cheese"", ""mushroom"", ""bell pepper"", ""roma tomato"", ""bacon"", ""milk"")",,,362.1,23.5,9.2,247.8,625.9,7.1,1.5,4.0,29.8,1.0,1 Omelet,"c(""Clean Mushrooms with a dry paper towel."", ""Slice Mushrooms vertically."", ""Sautee Mushrooms in a pan on medium heat."", ""Slide cooked mushrooms to the corner of the pan."", ""Mix eggs in a cup, add a bit of milk depending on preferred texture."", ""Pour egg batter onto pan, turn down a small notch."", ""Keep eggs moving in pan, add in Cheese, Pepper and Bacon, then mix mushrooms back in once nearly cooked."", ""Serve on plate and add cajun seasoning to taste."")","[""1      whole egg"",""4      whole egg whites"",""1/2  ounce    cheddar cheese"",""1/2  cup    mushroom"",""1/4  cup    bell pepper"",""1/4  cup    roma tomato"",""1   ounce    bacon"",""1   tablespoon    milk"",""  cajun seasoning""]","[""whole egg whites"", ""cheddar cheese"", ""bell"", ""roma"", ""bacon"", ""cajun seasoning""]",0,1
Quick Omelet,"Something I put together when I was running late one morning. If you love
eggs, bacon, cheese, and potatoes, you will love this recipe!","c(""2"", ""2"", ""2"", ""1/4"")","c(""eggs"", ""bacon"", ""Velveeta cheese"", ""hash brown"")",3.0,1.0,627.7,47.6,18.5,498.6,1490.5,20.2,1.2,5.9,28.1,1.0,,"c(""Place scrambled eggs in low heat pan."", ""Add bacon bits, cheese, and hashbrowns and fold egg in middle."", ""Cook until done and cheese is melted."", ""Serve, eat, and go on a good meal thats quick and easy."")","[""2   large    eggs, scrambled "",""2   slices    bacon, chopped and cooked "",""2   slices    Velveeta cheese, mild "",""1/4  cup    hash brown, cooked ""]","[""eggs"", ""bacon chopped"", ""Velveeta cheese"", ""hash brown""]",0,1
Nopal Omelet,Make and share this Nopal Omelet recipe from Food.com.,"c(""3"", ""3"", ""1/4"", ""1/4"", ""2"", ""3/4"", ""2"", ""1"", ""1"")","c(""eggs"", ""1% low-fat milk"", ""salt"", ""nopales"", ""anaheim chilies"", ""tomatoes"", ""dried cilantro"")",,,81.7,5.0,1.2,127.5,198.2,2.4,0.4,1.9,6.7,5.0,,"c(""Steam nopales and anaheim chiles about 5 minutes or until tender."", ""Beat 6 egg whites until stiff but not dry."", ""In another bowl, beat 3 egg yolks until lemon-colored."", ""Add the milk and salt to the beaten yolks and gently fold the yolks into the beaten egg whites."", ""In a bowl, combine the nopal, green chiles, tomatoes, and seasonings."", ""Cook filling in 1 Tablespoon of oil for 2-3 minutes over medium high heat."", ""In a skillet cook the eggs in 1 Tablespoon of oil until the top is dry."", ""Spread the filling over half the omelet and fold the other half over the filling."", 
""Press to seal and cook until heated through but not dry."", ""Divide into 5 portions and serve with salsa."")","[""3       eggs, separated "",""3       egg whites"",""1/4  cup    1% low-fat milk"",""1/4  teaspoon    salt"",""2   tablespoons    corn oil"",""3/4  cup    nopales, chopped "",""2   tablespoons    anaheim chilies, finely chopped "",""1   medium    tomatoes, peeled and chopped "",""1   teaspoon    dried cilantro""]","[""egg whites"", ""low - fat milk"", ""corn oil"", ""nopales"", ""anaheim chilies chopped"", ""tomatoes"", ""dried cilantro""]",0,1
Gyro Omelet,Make and share this Gyro Omelet recipe from Food.com.,"c(""3"", ""4"", ""4 -5"", ""3 -4"", ""1/4"")","c(""eggs"", ""feta cheese"", ""feta"", ""tomatoes"", ""cucumber"")",,,392.3,27.2,13.2,685.0,847.3,8.6,1.1,6.3,27.9,1.0,1 omelet,"c(""beat eggs obviously for omelet, pour in pan, and cook evenly for omelet."", ""add pre-cooked Gyro meat from loaf, Tomatoes, and shredded cucumber."", ""before you fold omelet, add your feta evenly."", ""allow omelet to finish, remove from heat and --"", ""enjoy."")","[""3       eggs"",""4   tablespoons    feta cheese or 3   slices   of brick feta"",""4 -5   slices    gyro meat, 4-5 thin slices "",""3 -4   slices    tomatoes, 3-4 thin slices "",""1/4      cucumber, 1/4 of medium sized one shredded, and patted dry ""]","[""feta cheese brick feta"", ""gyro meat"", ""tomatoes""]",0,1
Brunch Oven Omelet,This was a breakfast hit for my niece who is very picky.  The recipe came from Betty Crocker's New Cookbook.,"c(""2"", ""9"", ""1/2"", ""1/2"", ""1"", ""2"")","c(""butter"", ""eggs"", ""sour cream"", ""milk"", ""salt"", ""green onions"")",,,298.3,24.1,11.6,508.1,810.4,3.7,0.1,1.0,16.2,4.0,,"c(""Heat oven to 325."", ""Melt butter in 8x8x2\"" square baking dish in oven.  Tilt dish to coat bottom."", ""Beat eggs, sour  cream, milk, and salt until blended.  Stir in onions and pour into dish."", ""Bake about 25 minutes or until eggs are set in center but still moinst."")","[""2   tablespoons    butter"",""9   large    eggs"",""1/2  cup    sour cream"",""1/2  cup    milk"",""1   teaspoon    salt"",""2   tablespoons   chopped green onions""]","[""sour cream"", ""milk"", ""chopped green onions""]",0,1
Baked English Omelette,"We love this omelette with toasted English muffins and jam.  Found it on a My Great Recipes card tucked in a book I bought at a thrift store. The card says for 2 servings, use half the ingredients, use an 8-inch pan and bake for 15 minutes; for 8, double the ingredients and bake in two pans.","c(""6"", ""2/3"", ""1/4"", ""1/8"", ""1 1/2"", ""1"", ""3"", ""1"", ""1"")","c(""eggs"", ""milk"", ""salt"", ""black pepper"", ""cheddar cheese"", ""green onion"", ""bacon"", ""butter"", ""margarine"", ""parmesan cheese"")",,,417.1,33.9,16.8,387.7,715.2,3.5,0.1,0.9,23.9,4.0,,"c(""Heat oven to 400."", ""Whisk eggs in bowl until smooth."", ""Whisk in milk."", ""Stir in seasonings, cheese, onion and bacon."", ""Melt butter in a 9\"" oven-proof frying pan or omelette pan."", ""Pour egg mixture into pan."", ""Sprinkle with Parmesan cheese."", ""Bake at 400 for 20 minutes or until set and golden."", ""Garnish with additional bacon if desired."", ""Serve immediately."")","[""6       eggs"",""2/3  cup    milk"",""1/4  teaspoon    salt"",""1/8  teaspoon    black pepper"",""1 1/2  cups   shredded cheddar cheese"",""1       green onion, thinly sliced "",""3   slices    bacon, cooked \u0026 crumbled "",""1   tablespoon    butter or 1   tablespoon    margarine"",""1   tablespoon    parmesan cheese""]","[""milk"", ""black pepper"", ""shredded cheddar cheese"", ""green onion"", ""bacon"", ""butter margarine"", ""parmesan cheese""]",0,1
Spinach and Feta Omelet (Ww),"I enjoyed this simple 2 point breakfast - and it was a great way to use up some feta and spinach too! The original recipe used chopped tomatoes, which I didn't have. Recipe source: WeightWatchers.com","c(""1"", ""3"", ""1"", ""1/2"", ""1/4"", ""2"")","c(""egg"", ""spinach"", ""oregano"", ""salt"", ""feta cheese"")",5.0,6.0,102.7,5.5,2.9,105.6,578.7,1.7,0.4,1.1,11.0,2.0,,"c(""In a small bowl combine first 5 ingredients (egg - salt)."", ""Spray a small skillet with Pam and head over medium heat."", ""Add egg mixture to skillet, cooking until bottom of eggs is firm (5-10 minutes). Flip omelet and cook other side until set (3-5 minutes)."", ""Put cheese on one half of omelet and flip over other half."", ""Cut in half to serve."")","[""1       egg"",""3       egg whites"",""1   cup    spinach, chopped "",""1/2  teaspoon    oregano"",""1/4  teaspoon    salt"",""2   tablespoons    feta cheese (I used low fat feta)""]","[""egg whites"", ""spinach"", ""oregano"", ""feta cheese fat feta""]",0,1
Egg White Omelet Manicotti Style for 1,I just love Kittencals manicotti recipe and decided to make an omelette with a similar flavor and less calories.  It is a bit time consuming but I thought it was very flavorful and filling.  I made the recipe for 1 but you can adjust to your own liking.,"c(""1"", ""1"", ""1/8"", ""1"", ""1/3"", ""1/8"", ""1"", ""1/4"", ""1/4"", ""1"", ""3"", ""1/2"")","c(""olive oil"", ""onion"", ""garlic clove"", ""2% fat cottage cheese"", ""mozzarella cheese"", ""parmesan cheese"", ""spinach"", ""Egg Beaters egg substitute"", ""chopped tomato"")",5.0,1.0,246.6,11.3,4.1,23.0,587.7,9.7,1.5,6.5,26.0,1.0,,"c(""saute in olive oil: onion, red pepper and garlic about 5 minutes."", ""Mix together:  cottage cheese, mozzarella, parmesan cheese, italian seasoning, salt and pepper and spinach."", ""I add to onion mixture to warm."", ""Cook egg whites and add cheese filling when eggs are set.  Top with chopped tomato."")","[""1   teaspoon    olive oil"",""1   tablespoon   chopped onion"",""1/8  cup   chopped red pepper"",""1   small    garlic clove, chopped "",""1/3  cup    2% fat cottage cheese"",""1/8  cup   shredded mozzarella cheese"",""1   tablespoon    parmesan cheese"",""1/4  cup   chopped spinach"",""1/4  teaspoon    italian seasoning"",""1   dash    salt and pepper (a couple shakes)"",""3       egg whites or 3       Egg Beaters egg substitute"",""1/2      chopped tomato""]","[""olive oil"", ""chopped onion"", ""chopped red pepper"", ""garlic clove chopped"", ""fat cottage cheese"", ""shredded mozzarella cheese"", ""parmesan cheese"", ""chopped spinach"", ""italian seasoning"", ""salt pepper"", ""egg whites Egg Beaters egg substitute"", ""chopped tomato""]",0,1
Ww Lunch Omelet,Make and share this Ww Lunch Omelet recipe from Food.com.,"c(""3"", ""1"", ""1"", ""1/2"", ""1"", ""1/2"", ""1/4"", NA, NA, ""3"", NA)","c(""egg"", ""portabella mushroom"", ""red onion"", ""garlic clove"", ""salt"", ""pepper"", ""olive oil"")",,,546.4,45.9,7.2,211.5,254.9,15.0,2.8,6.1,20.5,1.0,1 omelet,"c(""mix egg whites and egg  together with 1/4 cup water until frothy."", ""turn saute pan on to medium heat. Add 3 TBSP olive oil , garlic and vegetables. Saute for about 2 minutes."", ""Spray omelet pan with PAM and put on medium high heat. Add egg mixture and stir gently from center to sides as eggs begin to set up. When top of egg mixture begins to look dry, gently top with vegetables."", ""Add cheese and let cook over low heat for another minute or two."", ""Tip pan to slide omelet onto plate."", ""Add salt and pepper to taste.""
)","[""3       egg whites"",""1       egg"",""1       portabella mushroom"",""1/2  cup   sliced red onion"",""1       garlic clove, sliced "",""1/2  cup    Baby Spinach"",""1/4  cup   shredded low-fat Mexican cheese"",""  salt"",""  pepper"",""3   tablespoons    olive oil"",""  Pam cooking spray""]","[""egg whites"", ""portabella"", ""red onion"", ""garlic clove"", ""Spinach"", ""shredded low - fat Mexican cheese"", ""olive oil"", ""cooking spray""]",0,1
Potato Skillet Omelet,Make and share this Potato Skillet Omelet recipe from Food.com.,"c(""6"", ""1"", ""1"", ""1/8"", NA, ""8"", ""3"", ""1 1/2"", ""1/4"", ""1"", ""1/2"", ""1/2"", ""2"")","c(""potatoes"", ""sea salt"", ""sea salt"", ""olive oil"", ""eggs"", ""heavy whipping cream"", ""paprika"", ""cracked black pepper"", ""garlic"", ""red onion"", ""sour cream"", ""garlic"")",,,415.6,21.8,8.4,360.9,2001.6,40.5,5.0,3.0,15.5,,,"c(""Preheat oven to 375 degrees."", ""Cover potatoes with water and add 1 tbps sea salt. Bring to a boil and simmer 3 minutes.  Drain."", ""Heat olive oil in large non-stick ovenproof saute pan over medium heat. Add potatoes and brown 4 to 5 minutes. Season lightly with salt and pepper."", ""Whisk eggs with whipping cream, paprika, remaining 1 teaspoon sea salt, cracked, and onion."", ""When pototatoes are tender, add egg mixture to pan and stir quickly for about 30 seconds. Place pan in pre-heated oven and bake 5 minutes or until puffy and set."", 
""Mix sour cream and 2 tsp garlic."", ""Remove pan from oven and serve with garlic sour cream."")","[""6   small    potatoes, cut into 1 inch pieces "",""1   tablespoon    sea salt (divided)"",""1   teaspoon    sea salt (divided)"",""1/8  cup    olive oil"",""  salt and pepper, to taste "",""8       eggs"",""3   tablespoons    heavy whipping cream"",""1 1/2  teaspoons    paprika"",""1/4  teaspoon   freshly cracked black pepper"",""1   tablespoon    garlic, minced "",""1/2  cup    red onion, minced "",""1/2  cup    sour cream"",""2   teaspoons    garlic, minced ""]","[""small potatoes"", ""sea salt"", ""sea salt"", ""olive oil"", ""salt pepper"", ""whipping cream"", ""paprika"", ""cracked black pepper"", ""garlic minced"", ""red onion minced"", ""sour cream"", ""garlic minced""]",0,1
Montana Omelet,"We tried this omelet a few nights ago for dinner and really enjoyed it. It's loaded with potatoes, meat and onions. We made this with leftover ham, green onions, and a 4-blend cheese for a hearty and filling omelet. I'm guessing that it would be good with all kinds of variations too. From the Marlboro Country Cookbook.","c(""6"", ""2"", ""1/4"", ""1/2"", ""1/8"", ""1/2"", ""1/4"", ""1"", ""2"", ""1"")","c(""eggs"", ""half-and-half"", ""sour cream"", ""salt"", ""pepper"", ""ham"", ""onion"", ""potato"", ""butter"", ""cheddar cheese"")",5.0,8.0,465.0,35.3,19.1,495.0,833.7,12.7,1.3,2.0,24.1,3.0,,"c(""Beat eggs, half and half, salt, pepper well or mix in a blender."", ""Cook meat, onions and potatoes in butter and oil until onion is tender and potatoes lightly browned."", ""Pour egg mixture over all, lifting potatoes to let eggs run under."", ""Cook slowly in a covered fry pan until eggs are set, 8 to 10 minutes."", ""Add a dollop of sour cream and sprinkle with cheese and serve."")","[""6   large    eggs"",""2   tablespoons    half-and-half"",""1/4  cup    sour cream (to taste)"",""1/2  teaspoon    salt"",""1/8  teaspoon    pepper"",""1/2  cup    ham or 1/2  cup    cooked bacon"",""1/4  cup    onion, finely chopped "",""1   cup   cooked potato, chopped "",""2   tablespoons    butter or 2   tablespoons    cooking oil"",""1   cup   shredded cheddar cheese""]","[""sour cream"", ""ham cooked"", ""onion"", ""cooked potato chopped"", ""butter cooking oil"", ""shredded cheddar cheese""]",0,1
Baby Spinach Omelet,"Simple and delicious very spinachy omelette with parmesan cheese, onion and nutmeg. I enjoy this as a supper with boiled baby potatoes. I often change the onion powder for green onion.","c(""4"", ""2"", ""3"", ""1/2"", ""1/8"", NA)","c(""eggs"", ""parmesan cheese"", ""onion powder"", ""ground nutmeg"")",4.5,2.0,189.0,12.3,4.5,429.6,278.7,2.7,0.7,1.2,16.4,2.0,,"c(""In a bowl, beat the eggs, and stir in the baby spinach and Parmesan cheese. Season with onion powder, nutmeg, salt, and pepper."", ""In a small skillet coated with cooking spray over medium heat, cook the egg mixture about 3 minutes, until partially set. Flip with a spatula, and continue cooking 2 to 3 minutes."", ""Reduce heat to low, and continue cooking 2 to 3 minutes, or to desired doneness."")","[""4       eggs"",""2   cups    Baby Spinach, torn "",""3   tablespoons    parmesan cheese, grated "",""1/2  teaspoon    onion powder"",""1/8  teaspoon    ground nutmeg"",""  salt and pepper""]","[""Spinach"", ""parmesan cheese grated"", ""onion powder"", ""nutmeg"", ""salt pepper""]",0,1
Crappy Omelette,"This is a sample omelette recipe that I came out with, forged together from other bastard omelette recipes to create one ugly mother-omelette.","c(""3"", ""2"", ""2"", ""1"")","c(""eggs"", ""2% low-fat milk"", ""onion"")",,,438.4,30.8,10.6,676.1,991.0,11.3,1.0,5.7,27.9,1.0,,"c(""lightly beat eggs and milk."", ""saute onion and spam."", ""fry egg mixture a little over medium to low heat, pulling in edges to keep egg from pooling."", ""when very little egg is still liquid, add onion and spam to one side, then fold remaining egg over it."", ""heat omelette a minute more and slide onto plate."", ""consume immediately."")","[""3       eggs"",""2   tablespoons    2% low-fat milk"",""2   ounces    Spam"",""1   small    onion, finely chopped ""]","[""low - fat milk"", ""Spam"", ""onion""]",0,1
Omelette Arnold Bennett,"For a traditional British dish, try this recipe for a classic Omelette Arnold Bennett, tastily flavoured with smoked haddock.","c(""3 1/2"", NA, ""1"", ""1"", ""2"", ""4"", NA, ""1"", ""2"", ""1 -2"", NA, NA)","c(""milk"", ""bay leaf"", ""onion"", ""fresh parsley"", ""eggs"", ""butter"", ""parmesan cheese"", ""tomatoes"", ""watercress"")",,,597.8,39.6,18.1,977.1,1208.9,4.4,0.3,2.2,53.2,,,"c(""Place the smoked haddock in a saucepan. Add in enough milk to cover the haddock, together with the bay leaf, onion and parsley."", ""Simmer the haddock gently for 3-4 minutes until the flesh is opaque. Remove the haddock and skin and flake it."", ""Whisk the eggs in a bowl and season with salt and freshly ground pepper."", ""Melt the butter in a heavy-based medium frying pan over a moderate heat."", ""Pour in the whisked eggs, tilting the pan to spread them evenly."", ""Fry the omelette until the top is almost set but still slightly runny. Scatter over the smoked haddock flakes and spoon over the cream. Sprinkle over the Parmesan cheese."", 
""Meanwhile, preheat the grill until hot. Finish the omelette off under the grill until brown and bubbling."", ""Serve at once with grilled tomatoes, garnished with watercress."")","[""3 1/2  ounces    smoked haddock, undyed "",""  milk, to cover "",""1       bay leaf"",""1   slice    onion"",""2   sprigs    fresh parsley"",""4       eggs"",""  salt \u0026 freshly ground black pepper"",""1   slice    butter"",""2   tablespoons    cream, whipped "",""1 -2   tablespoon   freshly grated parmesan cheese"","" grilled tomatoes"",""  watercress""]",[],0,1
Double Cheese Omelette,Make and share this Double Cheese Omelette recipe from Food.com.,"c(""4"", ""1 1/2"", ""1/2"", ""2"", NA, ""3"", ""1"")","c(""eggs"", ""sharp cheddar cheese"", ""parmesan cheese"", ""chives"", ""cream cheese"", ""butter"")",,,463.4,39.6,21.8,513.6,547.3,2.6,0.1,1.1,24.0,2.0,,"c(""Beat the eggs in a bowl with the Cheddar and Parmesan, half the chives, and some salt and freshly ground pepper. Beat the cream cheese with the remaining chives."", ""Heat a heavy-based frying pan over a fairly high heat and add the butter. Let it melt and heat through thoroughly. Give the egg mixture one last stir and pour into the pan."", ""Swirl around to coat the base evenly then allow the omelette's edges to set. Loosen the edges with a fish slice or palette knife and lift the edges up here and there, letting the runny egg flow down."", 
""Repeat this process until the omelette is cooked, with just a film of moist egg remaining on the surface."", ""Remove the omelette in its frying pan from direct heat. Spoon the cream cheese down the centre and fold the omelette over the cream cheese filling."", ""Transfer the omelette to a warm serving plate, slice in half and serve at once."")","[""4       eggs"",""1 1/2  ounces    sharp cheddar cheese, freshly grated "",""1/2  ounce    parmesan cheese, freshly grated "",""2   tablespoons   chopped chives"",""  salt \u0026 freshly ground black pepper"",""3   ounces    cream cheese"",""1   slice    butter""]","[""cheddar cheese"", ""parmesan cheese"", ""chopped chives"", ""salt freshly ground black pepper"", ""cream cheese""]",0,1
Jalapeno Omelet,"It was a cold ,rainy, drab morning and I just wanted some flavor. I threw this together and it's now a favorite of mine. It's simple, yet flavorful.","c(""2"", ""2"", ""2"", ""1"", NA, NA, ""2"")","c(""olive oil"", ""eggs"", ""milk"", ""salt"", ""pepper"", ""cream cheese"")",,,442.6,39.4,17.2,487.5,315.8,4.6,0.8,1.9,17.7,1.0,,"""Heat the olive oil in a pan. Seed the jalapenos and mince. Add the jalapenos to the oil and saute for a few minutes, until soft. Beat the eggs with salt, pepper and milk. Add to the pan. Cover and cook until slightly set. Cube the cream chees and drop in dollops onto egg mixture. Cover again until the cheese is melted. Fold over and serve. I topped this with salsa.""","[""2       jalapeno peppers"",""2   teaspoons    olive oil"",""2       eggs"",""1   tablespoon    milk"",""  salt"",""  pepper"",""2   ounces    cream cheese""]","[""jalapeno peppers"", ""olive oil"", ""cream cheese""]",0,1
